id,url,title,content
106,https://www.cdrewu.edu/cosh/prog/UPHP/PBCPH,,
107,https://www.cdrewu.edu/cosh/prog/PBPHC/Obj,,
108,https://www.cdrewu.edu/cosh/prog/PBPHC/CU,,
109,https://www.cdrewu.edu/cosh/prog/PBPHC/REQ,,
110,https://www.cdrewu.edu/cosh/prog/MPHUPH,,
111,https://www.cdrewu.edu/cosh/prog/UPH/Accreditation,,
112,https://www.cdrewu.edu/cosh/prog/UPH/Admissions,,
113,https://www.cdrewu.edu/cosh/prog/UPH/Vision,,
114,https://www.cdrewu.edu/cosh/prog/UPH/Diversity,,
115,https://www.cdrewu.edu/cosh/prog/UPHP/Objectives,,
116,https://www.cdrewu.edu/cosh/prog/UPHP/Competencies,,
117,https://www.cdrewu.edu/cosh/prog/UPHP/Competencies,,
118,https://www.cdrewu.edu/cosh/prog/UPH/Descriptions,,
119,https://www.cdrewu.edu/cosh/prog/UPH/workforce,,
120,https://www.cdrewu.edu/cosh/prog/UPH/community,,
121,https://www.cdrewu.edu/cosh/prog/UPH/Achievements,,
122,https://www.cdrewu.edu/cosh/prog/UPH/Testimonials,,
123,https://www.cdrewu.edu/cosh/prog/UPH/FacultyStaff,,
124,https://www.cdrewu.edu/cosh/prog/UPH/MPHSA,,
125,https://www.cdrewu.edu/cosh/prog/UPHP/PBCPH,,
126,https://www.cdrewu.edu/cosh/prog/PBPHC/Obj,,
127,https://www.cdrewu.edu/cosh/prog/PBPHC/CU,,
128,https://www.cdrewu.edu/cosh/prog/PBPHC/REQ,,
129,https://www.cdrewu.edu/cosh/prog/UCHS,,
130,https://www.cdrewu.edu/UCHS/Curriculum,,
131,https://www.cdrewu.edu/UCHS/Descriptions,,
132,https://www.cdrewu.edu/UCHS/Faculty,,
133,https://www.cdrewu.edu/UCHS/Accreditation,,
134,https://www.cdrewu.edu/UCHS/Requirements,,
135,https://www.cdrewu.edu/UCHS/faq,,
136,https://www.cdrewu.edu/cosh/PA,,
137,https://www.cdrewu.edu/cosh/PA/DirMessage,,
138,https://www.cdrewu.edu/cosh/prog/PA/PresidentMessage,,
139,https://www.cdrewu.edu/cosh/prog/PA/Mission,,
140,https://www.cdrewu.edu/cosh/prog/PA/Profession,,
141,https://www.cdrewu.edu/cosh/prog/PA/Wall,,
142,https://www.cdrewu.edu/cosh/prog/PA/PANCE,,
143,https://www.cdrewu.edu/cosh/prog/PA/PoliciesProcedures,,
144,https://www.cdrewu.edu/cosh/prog/PA/PoliciesProcedures,,
145,https://www.cdrewu.edu/cosh/prog/PA/Standards,,
146,https://www.cdrewu.edu/cosh/prog/PA/Immunization,,
147,https://www.cdrewu.edu/cosh/prog/PA/WorkPolicy,,
148,https://www.cdrewu.edu/cosh/prog/PA/FERPA,,
149,https://www.cdrewu.edu/cosh/prog/PA/Background,,
150,https://www.cdrewu.edu/cosh/prog/PA/AdmissionsHome,,
151,https://www.cdrewu.edu/cosh/prog/PA/Admissions/Tuition,,
152,https://www.cdrewu.edu/cosh/prog/PA/Admissions/Prerequisites,,
153,https://www.cdrewu.edu/cosh/prog/PA/Admissions/Direct,,
154,https://www.cdrewu.edu/cosh/prog/PA/Admissions/Additional,,
155,https://www.cdrewu.edu/cosh/prog/PA/Admissions/Policy,,
156,https://www.cdrewu.edu/cosh/prog/PA/Admissions/Statistics,,
157,https://www.cdrewu.edu/cosh/prog/PA/ScholarshipLoan,,
158,https://www.cdrewu.edu/cosh/prog/PA/Accreditation,,
159,https://www.cdrewu.edu/cosh/prog/PA/Testimonials,,
160,https://www.cdrewu.edu/cosh/prog/PA/Admissions/Curriculum,,
161,https://www.cdrewu.edu/cosh/prog/PA/Admissions/Highlights,,
162,https://www.cdrewu.edu/cosh/prog/PA/Affiliates,,
163,https://www.cdrewu.edu/cosh/prog/PA/CommunityConnections,,
164,https://www.cdrewu.edu/cosh/prog/PA/team/Director,,
165,https://www.cdrewu.edu/cosh/prog/PA/team/AssociateDirector,,
166,https://www.cdrewu.edu/cosh/prog/PA/team/MDirector,,
167,https://www.cdrewu.edu/cosh/prog/PA/team/Program,,
168,https://www.cdrewu.edu/cosh/prog/PA/team/Staff,,
169,https://www.cdrewu.edu/cosh/prog/PA/meet/FacultyPublications,,
170,https://www.cdrewu.edu/cosh/prog/PA/meet/Awards,,
171,https://www.cdrewu.edu/cosh/prog/PA/meet/News,,
172,https://www.cdrewu.edu/cosh/prog/PA/FAQ,,
173,https://www.cdrewu.edu/cosh/prog/PA/SocialMedia,,
174,https://www.cdrewu.edu/cosh/prog/PA/Community,,
175,https://www.cdrewu.edu/cosh/PA/SwagShop,,
176,https://www.cdrewu.edu/cosh/prog/PA/Veteran,,
177,https://www.cdrewu.edu/cosh/prog/GSProgram,,
178,https://www.cdrewu.edu/cosh/prog/GS/Curriculum,,
179,https://www.cdrewu.edu/cosh/prog/GS/Requirements,,
180,https://www.cdrewu.edu/cosh/prog/GS/Objectives,,
181,https://www.cdrewu.edu/cosh/prog/GS/Staff,,
182,https://www.cdrewu.edu/Research,,
183,https://www.cdrewu.edu/res/RA/AboutUs,,
184,https://www.cdrewu.edu/Research/Statistics,,
185,https://www.cdrewu.edu/res/RA/Units,,
186,https://www.cdrewu.edu/res/admin/ORA,,
187,https://www.cdrewu.edu/res/admin/EHLS,,
188,https://www.cdrewu.edu/res/RA/OSP,,
189,https://www.cdrewu.edu/res/RA/OSP/Policies,,
190,https://www.cdrewu.edu/res/RA/OSP/RESOURCES,,
191,https://www.cdrewu.edu/res/RA/osp/Announcements,,
192,https://www.cdrewu.edu/res/RA/osp/Uniform,,
193,https://www.cdrewu.edu/res/RA/osp/Implementation,,
